2026-04-28 21:31:02,921 | INFO | __main__ | Ma'lumotlar bazasi tayyor.
2026-04-28 21:31:06,576 | INFO | __main__ | Bot polling boshlandi...
2026-04-28 21:31:06,577 | INFO | aiogram.dispatcher | Start polling
2026-04-28 21:31:06,795 | INFO | aiogram.dispatcher | Run polling for bot @TozaHudud_sambot id=8642357165 - 'Toza hudud rasmlar'
2026-04-28 21:31:24,681 | INFO | aiogram.event | Update id=690979316 is handled. Duration 567 ms by bot id=8642357165
2026-04-28 21:31:33,112 | INFO | aiogram.event | Update id=690979317 is handled. Duration 210 ms by bot id=8642357165
2026-04-28 21:32:26,241 | INFO | aiogram.event | Update id=690979318 is handled. Duration 253 ms by bot id=8642357165
2026-04-28 21:32:29,947 | INFO | aiogram.event | Update id=690979319 is handled. Duration 212 ms by bot id=8642357165
2026-04-28 21:32:31,613 | INFO | aiogram.event | Update id=690979320 is handled. Duration 501 ms by bot id=8642357165
2026-04-28 21:32:44,444 | INFO | aiogram.event | Update id=690979321 is handled. Duration 561 ms by bot id=8642357165
2026-04-28 21:32:51,532 | INFO | aiogram.event | Update id=690979322 is handled. Duration 200 ms by bot id=8642357165
2026-04-28 21:32:54,183 | INFO | aiogram.event | Update id=690979323 is handled. Duration 638 ms by bot id=8642357165
2026-04-28 21:32:56,371 | INFO | aiogram.dispatcher | Polling stopped
2026-04-28 21:32:56,372 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-04-28 21:32:56,373 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8642357165)
2026-04-28 21:32:56,638 | INFO | aiogram.dispatcher | Polling stopped for bot @TozaHudud_sambot id=8642357165 - 'Toza hudud rasmlar'
2026-04-28 21:35:06,866 | INFO | __main__ | Ma'lumotlar bazasi tayyor.
2026-04-28 21:35:11,947 | INFO | __main__ | Bot polling boshlandi...
2026-04-28 21:35:11,948 | INFO | aiogram.dispatcher | Start polling
2026-04-28 21:35:12,149 | INFO | aiogram.dispatcher | Run polling for bot @TozaHudud_sambot id=8642357165 - 'Toza hudud rasmlar'
2026-04-28 21:35:13,829 | INFO | aiogram.event | Update id=690979324 is handled. Duration 1130 ms by bot id=8642357165
2026-04-28 21:36:10,756 | INFO | aiogram.event | Update id=690979325 is handled. Duration 252 ms by bot id=8642357165
2026-04-28 21:36:13,771 | INFO | aiogram.event | Update id=690979326 is handled. Duration 193 ms by bot id=8642357165
2026-04-28 21:36:15,629 | INFO | aiogram.event | Update id=690979327 is handled. Duration 201 ms by bot id=8642357165
2026-04-28 21:36:20,213 | INFO | aiogram.event | Update id=690979328 is handled. Duration 1229 ms by bot id=8642357165
2026-04-28 21:36:23,085 | INFO | aiogram.event | Update id=690979329 is handled. Duration 199 ms by bot id=8642357165
2026-04-28 21:36:26,644 | INFO | aiogram.event | Update id=690979330 is handled. Duration 366 ms by bot id=8642357165
2026-04-28 21:36:33,892 | INFO | aiogram.event | Update id=690979331 is handled. Duration 213 ms by bot id=8642357165
2026-04-28 21:36:44,999 | INFO | aiogram.event | Update id=690979332 is handled. Duration 194 ms by bot id=8642357165
2026-04-28 21:36:48,246 | INFO | aiogram.event | Update id=690979333 is handled. Duration 561 ms by bot id=8642357165
2026-04-28 21:36:50,577 | INFO | aiogram.event | Update id=690979334 is handled. Duration 208 ms by bot id=8642357165
2026-04-28 21:36:57,313 | INFO | aiogram.event | Update id=690979335 is handled. Duration 275 ms by bot id=8642357165
2026-04-28 21:37:00,154 | INFO | aiogram.event | Update id=690979336 is handled. Duration 1422 ms by bot id=8642357165
2026-04-28 21:39:01,588 | INFO | aiogram.dispatcher | Polling stopped
2026-04-28 21:39:01,590 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-04-28 21:39:01,591 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8642357165)
2026-04-28 21:39:01,851 | INFO | aiogram.dispatcher | Polling stopped for bot @TozaHudud_sambot id=8642357165 - 'Toza hudud rasmlar'
2026-04-28 21:39:26,425 | INFO | __main__ | Ma'lumotlar bazasi tayyor.
2026-04-28 21:39:27,802 | INFO | __main__ | Bot polling boshlandi...
2026-04-28 21:39:27,802 | INFO | aiogram.dispatcher | Start polling
2026-04-28 21:39:27,969 | INFO | aiogram.dispatcher | Run polling for bot @TozaHudud_sambot id=8642357165 - 'Toza hudud rasmlar'
2026-04-28 21:42:14,405 | INFO | aiogram.event | Update id=690979337 is handled. Duration 1271 ms by bot id=8642357165
2026-04-28 21:42:19,525 | INFO | aiogram.event | Update id=690979338 is handled. Duration 213 ms by bot id=8642357165
2026-04-28 21:42:24,433 | INFO | aiogram.event | Update id=690979339 is handled. Duration 635 ms by bot id=8642357165
2026-04-28 21:42:27,903 | INFO | aiogram.event | Update id=690979340 is not handled. Duration 5 ms by bot id=8642357165
2026-04-28 21:42:36,445 | INFO | aiogram.event | Update id=690979341 is handled. Duration 642 ms by bot id=8642357165
2026-04-28 21:42:41,609 | INFO | aiogram.event | Update id=690979342 is handled. Duration 199 ms by bot id=8642357165
2026-04-28 21:42:45,783 | INFO | aiogram.event | Update id=690979343 is handled. Duration 630 ms by bot id=8642357165
2026-04-28 21:42:47,228 | INFO | aiogram.event | Update id=690979344 is not handled. Duration 6 ms by bot id=8642357165
2026-04-28 21:52:01,543 | INFO | __main__ | Ma'lumotlar bazasi tayyor.
2026-04-28 21:52:04,438 | INFO | __main__ | Bot polling boshlandi...
2026-04-28 21:52:04,438 | INFO | aiogram.dispatcher | Start polling
